TransCode	TransDate	Detail
SLIP	16/08/2023 	Stip / Transfer
AccountCode	Partner	CostCenterCode	Debit	Credit	Details	Tax
1310		303 - JAO TAROUT BR.	 20.88 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 18.55 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 24.84 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 267.9 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 85.37 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 13.15 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 87.35 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 14.9 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 52.82 	 0 	Stip / Transfer	
1310		303 - JAO TAROUT BR.	 27.38 	 0 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 759.58 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 41.76 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 592.54 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 100.64 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 18.5 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 958.82 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 195 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 210 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 205 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 220 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 979.17 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 636.81 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 889.32 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 83 	 0 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 20.88 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 62.64 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 203 	 0 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 41.76 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 20.88 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 145.81 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 140 	 0 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 41.76 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 826.93 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 41.76 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 23.14 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 475 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 1154.24 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 0 	 72.01 	Stip / Transfer	
1310		211 - JAO WHOLESALE DIVISION 	 20 	 0 	Stip / Transfer	
1310		307 - JAO JUBAIL BR.	 759.58 	 0 	Stip / Transfer	
1310		307 - JAO JUBAIL BR.	 475 	 0 	Stip / Transfer	
1310		307 - JAO JUBAIL BR.	 249.31 	 0 	Stip / Transfer	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 3.19 	Stip / Transfer	
1310		210 - JAO HERA BR. JEDDAH 	 174.69 	 0 	Stip / Transfer	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 140 	Stip / Transfer	
1310		210 - JAO HERA BR. JEDDAH 	 170.37 	 0 	Stip / Transfer	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 54.28 	Stip / Transfer	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 47 	Stip / Transfer	
1310		210 - JAO HERA BR. JEDDAH 	 0 	 17.58 	Stip / Transfer	
1310		209 - JAO SALAMAH BR.	 3.19 	 0 	Stip / Transfer	
1310		209 - JAO SALAMAH BR.	 0 	 174.69 	Stip / Transfer	
1310		209 - JAO SALAMAH BR.	 0 	 90.84 	Stip / Transfer	
1310		209 - JAO SALAMAH BR.	 54.28 	 0 	Stip / Transfer	
1310		209 - JAO SALAMAH BR.	 0 	 260.79 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 41.76 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 4450.74 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 445.79 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 252.23 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 100.64 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 18.5 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 244.84 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 178.87 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 20.88 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 0 	 222.17 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 62.64 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 41.76 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 3627.6 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 209.94 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 145.81 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 423 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 826.93 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 23.14 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 3825.26 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 40.64 	 0 	Stip / Transfer	
1310		213 - JAO AL-QUDS BR 	 0 	 20.88 	Stip / Transfer	
